[I 2023-06-28 05:14:31,135] Trial 88 finished with value: 79.91176470588235 and parameters: {'set_piece_duration': 179, 'long_ball_threshold': 123, 'long_ball_height_threshold': 2.7975030041826945, 'long_ball_distance': 0.42907864460805706, 'prev_pass_multiplier': 0.10559896315665034, 'forward_threshold': 58, 'counter_attack_threshold': 121, 'forward_distance_threshold': 3.1940609688172583, 'slope_threshold': 1.141969535919485, 'counter_press_threshold': 17, 'counter_press_duration': 77, 'recovery_threshold': 158, 'transition_threshold': 3, 'r_opp': 7.710071303629274, 'r_high': 5.473135322072931, 'r_mid': 2.910638091831771, 'r_low': 1.5653054870703578, 'low_block_threshold': 31.731731541364486, 'mid_block_threshold': 37.30323795168329, 'high_block_threshold': 40.78599611355445, 'y_middle_down_press': 0}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:15:47,213] Trial 25 finished with value: 93.46507352941177 and parameters: {'set_piece_duration': 214, 'long_ball_threshold': 113, 'long_ball_height_threshold': 3.1550762361568565, 'long_ball_distance': 0.3973253206251534, 'prev_pass_multiplier': 0.1841702992711719, 'forward_threshold': 59, 'counter_attack_threshold': 137, 'forward_distance_threshold': 3.132973710947185, 'slope_threshold': 1.2159553930346554, 'counter_press_threshold': 12, 'counter_press_duration': 32, 'recovery_threshold': 146, 'transition_threshold': 13, 'r_opp': 6.840340707770667, 'r_high': 4.099336646399566, 'r_mid': 2.4540028098451536, 'r_low': 1.169589005325018, 'low_block_threshold': 32.430669295310594, 'mid_block_threshold': 35.254057311945395, 'high_block_threshold': 42.98624741078245, 'y_middle_down_press': 0}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:19:02,094] Trial 107 finished with value: 86.96323529411765 and parameters: {'set_piece_duration': 178, 'long_ball_threshold': 216, 'long_ball_height_threshold': 4.0188763179155025, 'long_ball_distance': 0.420891332652362, 'prev_pass_multiplier': 0.12422781660361487, 'forward_threshold': 44, 'counter_attack_threshold': 105, 'forward_distance_threshold': 1.5082999659241985, 'slope_threshold': 1.5751188124934545, 'counter_press_threshold': 49, 'counter_press_duration': 100, 'recovery_threshold': 155, 'transition_threshold': 3, 'r_opp': 5.736462432020332, 'r_high': 4.946693673310976, 'r_mid': 2.1652642862795, 'r_low': 0.5311999795044217, 'low_block_threshold': 32.61707277618195, 'mid_block_threshold': 37.360880540386276, 'high_block_threshold': 37.68291505800776, 'y_middle_down_press': 0}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:20:22,223] Trial 98 finished with value: 81.93933823529412 and parameters: {'set_piece_duration': 219, 'long_ball_threshold': 85, 'long_ball_height_threshold': 4.662114584305956, 'long_ball_distance': 0.20892316618266024, 'prev_pass_multiplier': 0.18817504247604386, 'forward_threshold': 58, 'counter_attack_threshold': 127, 'forward_distance_threshold': 4.921561568376969, 'slope_threshold': 1.126003961529277, 'counter_press_threshold': 11, 'counter_press_duration': 66, 'recovery_threshold': 155, 'transition_threshold': 23, 'r_opp': 5.575419771036944, 'r_high': 5.020753916220277, 'r_mid': 2.066384080430259, 'r_low': 1.1389715513843104, 'low_block_threshold': 32.180175079263, 'mid_block_threshold': 35.232683608672794, 'high_block_threshold': 38.57869747662376, 'y_middle_down_press': 0}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:22:10,277] Trial 122 finished with value: 19.972426470588232 and parameters: {'set_piece_duration': 165, 'long_ball_threshold': 76, 'long_ball_height_threshold': 4.608529407649835, 'long_ball_distance': 0.24242288059081715, 'prev_pass_multiplier': 0.17816436178024253, 'forward_threshold': 63, 'counter_attack_threshold': 106, 'forward_distance_threshold': 2.3465077156315193, 'slope_threshold': 1.0133518928949423, 'counter_press_threshold': 33, 'counter_press_duration': 64, 'recovery_threshold': 160, 'transition_threshold': 39, 'r_opp': 6.891252213475313, 'r_high': 4.289091775737762, 'r_mid': 1.9566494036853062, 'r_low': 1.3590023652675627, 'low_block_threshold': 32.86839338177462, 'mid_block_threshold': 36.754362981574815, 'high_block_threshold': 40.479057438122105, 'y_middle_down_press': -17.5}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:23:00,549] Trial 115 finished with value: 87.86764705882352 and parameters: {'set_piece_duration': 106, 'long_ball_threshold': 96, 'long_ball_height_threshold': 4.303509430855737, 'long_ball_distance': 0.28728961731649755, 'prev_pass_multiplier': 0.19660126923561266, 'forward_threshold': 59, 'counter_attack_threshold': 110, 'forward_distance_threshold': 4.565593351364703, 'slope_threshold': 1.4534789645851642, 'counter_press_threshold': 43, 'counter_press_duration': 44, 'recovery_threshold': 96, 'transition_threshold': 46, 'r_opp': 6.377938181697125, 'r_high': 5.874227858480361, 'r_mid': 1.9386586057014659, 'r_low': 0.5518893198490855, 'low_block_threshold': 32.559024707867614, 'mid_block_threshold': 36.8134119491364, 'high_block_threshold': 41.709678191195536, 'y_middle_down_press': 0}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:23:09,494] Trial 36 finished with value: 78.20220588235294 and parameters: {'set_piece_duration': 135, 'long_ball_threshold': 190, 'long_ball_height_threshold': 3.0843693577283244, 'long_ball_distance': 0.4364905425494926, 'prev_pass_multiplier': 0.12036199677504006, 'forward_threshold': 25, 'counter_attack_threshold': 91, 'forward_distance_threshold': 5.360398861806376, 'slope_threshold': 1.2815103311246945, 'counter_press_threshold': 40, 'counter_press_duration': 57, 'recovery_threshold': 162, 'transition_threshold': 16, 'r_opp': 5.5932726704902365, 'r_high': 4.5683654159536, 'r_mid': 3.072650603301496, 'r_low': 1.6613678569847221, 'low_block_threshold': 33.71140233480821, 'mid_block_threshold': 35.19584090277268, 'high_block_threshold': 39.18348772440753, 'y_middle_down_press': 0}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:23:39,143] Trial 65 finished with value: 79.10845588235296 and parameters: {'set_piece_duration': 176, 'long_ball_threshold': 92, 'long_ball_height_threshold': 4.337785346151927, 'long_ball_distance': 0.30937273787108577, 'prev_pass_multiplier': 0.121697676599273, 'forward_threshold': 84, 'counter_attack_threshold': 40, 'forward_distance_threshold': 2.2756620066979325, 'slope_threshold': 1.3635153995152536, 'counter_press_threshold': 43, 'counter_press_duration': 66, 'recovery_threshold': 195, 'transition_threshold': 28, 'r_opp': 7.322523871217855, 'r_high': 4.731391629144102, 'r_mid': 3.3601795832794825, 'r_low': 0.7552460964742248, 'low_block_threshold': 30.323575057903028, 'mid_block_threshold': 35.68766685680175, 'high_block_threshold': 42.5058173422889, 'y_middle_down_press': 0}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:29:56,642] Trial 101 finished with value: 89.13235294117648 and parameters: {'set_piece_duration': 129, 'long_ball_threshold': 138, 'long_ball_height_threshold': 3.6694038379897442, 'long_ball_distance': 0.49414075566342125, 'prev_pass_multiplier': 0.14146799776946792, 'forward_threshold': 70, 'counter_attack_threshold': 100, 'forward_distance_threshold': 4.013285499630836, 'slope_threshold': 0.6436706708133504, 'counter_press_threshold': 33, 'counter_press_duration': 42, 'recovery_threshold': 161, 'transition_threshold': 13, 'r_opp': 6.401681069315024, 'r_high': 5.846229634302537, 'r_mid': 1.7729495889857811, 'r_low': 1.6932283166938005, 'low_block_threshold': 33.75359463617317, 'mid_block_threshold': 35.94606619980177, 'high_block_threshold': 44.52407446400052, 'y_middle_down_press': 0}. Best is trial 13 with value: 15.718750000000002.
[I 2023-06-28 05:30:11,020] Trial 73 finished with value: 91.29227941176471 and parameters: {'set_piece_duration': 82, 'long_ball_threshold': 159, 'long_ball_height_threshold': 1.7192447486869153, 'long_ball_distance': 0.45885161629810284, 'prev_pass_multiplier': 0.14078784334775948, 'forward_threshold': 46, 'counter_attack_threshold': 85, 'forward_distance_threshold': 5.462079688647148, 'slope_threshold': 1.4846961707773354, 'counter_press_threshold': 37, 'counter_press_duration': 60, 'recovery_threshold': 151, 'transition_threshold': 31, 'r_opp': 6.810162965265777, 'r_high': 4.227583902615032, 'r_mid': 2.8937950807262425, 'r_low': 1.055911896860064, 'low_block_threshold': 34.62510195519439, 'mid_block_threshold': 35.366688202283505, 'high_block_threshold': 43.495631075487886, 'y_middle_down_press': 0}. Best is trial 13 with value: 15.718750000000002.
