number,value,datetime_start,datetime_complete,duration,params_frame_gap,params_over_duration,params_over_height_threshold,state
51,0.19578732167196566,2023-06-20 13:56:01.322251,2023-06-20 13:58:23.510914,0 days 00:02:22.188663,41,102,2.9592305342417937,COMPLETE
52,0.19125500873176737,2023-06-20 13:56:01.410647,2023-06-20 13:58:25.377676,0 days 00:02:23.967029,43,101,2.884975898364252,COMPLETE
53,0.18917576582406156,2023-06-20 13:56:05.581335,2023-06-20 13:58:28.080325,0 days 00:02:22.498990,42,100,2.861921774510886,COMPLETE
54,0.19027867789736835,2023-06-20 13:56:09.089815,2023-06-20 13:58:35.983363,0 days 00:02:26.893548,42,100,2.8948388157111755,COMPLETE
55,0.19006809504484964,2023-06-20 13:56:13.483929,2023-06-20 13:58:40.834087,0 days 00:02:27.350158,44,101,2.856773162680744,COMPLETE
56,0.2075278402324036,2023-06-20 13:56:22.404663,2023-06-20 13:58:46.661009,0 days 00:02:24.256346,72,58,2.9532570310008097,COMPLETE
57,0.21211261778113766,2023-06-20 13:56:24.109999,2023-06-20 13:58:51.975861,0 days 00:02:27.865862,73,54,2.9737890373386056,COMPLETE
58,0.2224854753801454,2023-06-20 13:56:24.206465,2023-06-20 13:58:50.024878,0 days 00:02:25.818413,71,25,2.856477506317564,COMPLETE
59,0.25200167295558135,2023-06-20 13:56:27.026316,2023-06-20 13:59:00.251678,0 days 00:02:33.225362,27,58,2.9066386603582828,COMPLETE
60,0.1652166221342251,2023-06-20 13:58:05.732751,2023-06-20 14:00:25.362059,0 days 00:02:19.629308,44,55,1.9365689441422471,COMPLETE
61,0.17077066770614902,2023-06-20 13:58:06.421627,2023-06-20 14:00:27.313560,0 days 00:02:20.891933,44,61,1.8900769114153477,COMPLETE
62,0.18134523484123327,2023-06-20 13:58:17.520435,2023-06-20 14:00:39.651968,0 days 00:02:22.131533,71,63,1.9371614475739989,COMPLETE
63,0.1684890369885118,2023-06-20 13:58:23.553073,2023-06-20 14:00:59.133207,0 days 00:02:35.580134,45,47,1.8978682404214755,COMPLETE
64,0.17806424870453919,2023-06-20 13:58:25.439099,2023-06-20 14:00:59.197106,0 days 00:02:33.758007,73,28,1.7429421594208456,COMPLETE
65,0.17978033336112414,2023-06-20 13:58:28.129387,2023-06-20 14:01:00.591010,0 days 00:02:32.461623,72,55,1.849825836097885,COMPLETE
66,0.19946163030338404,2023-06-20 13:58:36.474272,2023-06-20 14:01:11.123136,0 days 00:02:34.648864,75,57,1.8111829412918898,COMPLETE
67,0.20771222470098408,2023-06-20 13:58:40.861762,2023-06-20 14:01:24.273393,0 days 00:02:43.411631,27,60,1.894944836289306,COMPLETE
68,0.20698332690506624,2023-06-20 13:58:46.693559,2023-06-20 14:01:31.393252,0 days 00:02:44.699693,26,37,1.8889065602586994,COMPLETE
69,0.197905810890062,2023-06-20 13:58:50.061976,2023-06-20 14:01:37.226563,0 days 00:02:47.164587,28,40,1.6840827200682518,COMPLETE
70,0.19347908953791243,2023-06-20 13:58:52.491104,2023-06-20 14:01:37.544684,0 days 00:02:45.053580,28,44,1.9096800921635575,COMPLETE
71,0.1695072317252194,2023-06-20 13:59:00.279776,2023-06-20 14:01:39.722187,0 days 00:02:39.442411,47,37,1.846783981608127,COMPLETE
72,0.16459543870937077,2023-06-20 14:00:26.119874,2023-06-20 14:02:52.552545,0 days 00:02:26.432671,55,39,1.927631036238263,COMPLETE
73,0.17505745382687216,2023-06-20 14:00:27.336929,2023-06-20 14:02:55.347849,0 days 00:02:28.010920,46,41,1.843420524540117,COMPLETE
74,0.16915883426438322,2023-06-20 14:00:40.103373,2023-06-20 14:03:08.781206,0 days 00:02:28.677833,47,39,1.8827436565852995,COMPLETE
75,0.1680095692437485,2023-06-20 14:00:59.203949,2023-06-20 14:03:19.078725,0 days 00:02:19.874776,47,40,1.8053372156644316,COMPLETE
76,0.19648679443371525,2023-06-20 14:00:59.249681,2023-06-20 14:03:23.505254,0 days 00:02:24.255573,28,37,1.7509938747047114,COMPLETE
77,0.18144015807685773,2023-06-20 14:01:00.746061,2023-06-20 14:03:21.187573,0 days 00:02:20.441512,65,38,1.6075859571168962,COMPLETE
78,0.17736002412211524,2023-06-20 14:01:11.143137,2023-06-20 14:03:31.366496,0 days 00:02:20.223359,64,38,1.5927173876348342,COMPLETE
79,0.17879825708362446,2023-06-20 14:01:24.321118,2023-06-20 14:03:48.838942,0 days 00:02:24.517824,64,38,1.5062489217802488,COMPLETE
80,0.1819462280570529,2023-06-20 14:01:31.453131,2023-06-20 14:03:55.195409,0 days 00:02:23.742278,64,48,1.5657473067551502,COMPLETE
81,0.18240815723211348,2023-06-20 14:01:37.255945,2023-06-20 14:04:01.718777,0 days 00:02:24.462832,63,48,1.634966518712877,COMPLETE
82,0.17193752567601944,2023-06-20 14:01:37.572342,2023-06-20 14:04:04.785612,0 days 00:02:27.213270,48,50,1.5927536597395542,COMPLETE
83,0.17044601582159713,2023-06-20 14:01:40.176117,2023-06-20 14:04:06.144974,0 days 00:02:25.968857,47,49,1.5412525147110938,COMPLETE
84,0.16788409683901942,2023-06-20 14:02:52.595926,2023-06-20 14:05:11.215371,0 days 00:02:18.619445,47,47,1.574194974100305,COMPLETE
85,0.1708781135981302,2023-06-20 14:02:55.801030,2023-06-20 14:05:14.007498,0 days 00:02:18.206468,47,48,1.5200748940061055,COMPLETE
86,0.17180370434121772,2023-06-20 14:03:08.847686,2023-06-20 14:05:28.631715,0 days 00:02:19.784029,48,49,1.5524314640693586,COMPLETE
87,0.16474677741183594,2023-06-20 14:03:19.568820,2023-06-20 14:05:39.803731,0 days 00:02:20.234911,48,33,1.5674487739471912,COMPLETE
88,0.16790485675944267,2023-06-20 14:03:21.211300,2023-06-20 14:05:43.056350,0 days 00:02:21.845050,47,49,2.011571923848663,COMPLETE
89,0.1665935616160959,2023-06-20 14:03:23.564299,2023-06-20 14:05:43.056852,0 days 00:02:19.492553,47,47,1.5060889367456387,COMPLETE
90,0.17180370434121772,2023-06-20 14:03:31.396339,2023-06-20 14:05:53.145125,0 days 00:02:21.748786,48,49,1.5660795530102194,COMPLETE
91,0.16663119904379609,2023-06-20 14:03:48.855612,2023-06-20 14:06:12.974813,0 days 00:02:24.119201,47,49,1.9642123172988635,COMPLETE
92,0.16754376048004296,2023-06-20 14:03:55.229015,2023-06-20 14:06:18.485246,0 days 00:02:23.256231,48,49,1.9711067111008005,COMPLETE
93,0.17046737623045605,2023-06-20 14:04:01.739905,2023-06-20 14:06:28.575566,0 days 00:02:26.835661,48,67,2.004447432913258,COMPLETE
94,0.16833490815052782,2023-06-20 14:04:05.325951,2023-06-20 14:06:32.185982,0 days 00:02:26.860031,48,33,2.0101111190876035,COMPLETE
95,0.17117350492492428,2023-06-20 14:04:06.674984,2023-06-20 14:06:32.125494,0 days 00:02:25.450510,47,70,1.998775372253542,COMPLETE
96,0.1738564542831907,2023-06-20 14:05:11.234189,2023-06-20 14:07:26.415787,0 days 00:02:15.181598,47,66,1.7841971578835547,COMPLETE
97,0.16637455309292049,2023-06-20 14:05:14.486036,2023-06-20 14:07:30.883517,0 days 00:02:16.397481,50,44,2.017321675509835,COMPLETE
98,0.21995777765725438,2023-06-20 14:05:28.654614,2023-06-20 14:07:59.985965,0 days 00:02:31.331351,19,33,2.010303150236129,COMPLETE
99,0.1634439116281681,2023-06-20 14:05:39.818328,2023-06-20 14:08:00.040555,0 days 00:02:20.222227,54,31,1.7601214483302399,COMPLETE
100,0.16688076455915252,2023-06-20 14:05:43.091270,2023-06-20 14:08:05.519894,0 days 00:02:22.428624,53,32,2.0218191872932954,COMPLETE
